开始记录20240103112735
TX : ID - 71C, DATA - 3, 22, fd, ff, 0, 0, 0, 0time：27:35:281
RX:ID 78c  Data:
07 62 fd ff ff ff ff ff time：27:35:283
TX : ID - 71C, DATA - 2, 10, 3, 0, 0, 0, 0, 0time：27:35:770
RX:ID 78c  Data:
03 7f 10 7e 00 00 00 00 time：27:35:771
TX : ID - 71C, DATA - 4, 31, 1, df, fd, 0, 0, 0time：27:36:279
RX:ID 78c  Data:
05 71 01 df fd 00 00 00 time：27:36:280
TX : ID - 71C, DATA - 2, 10, 2, 0, 0, 0, 0, 0time：27:36:772
RX:ID 78c  Data:
06 50 02 00 32 01 f4 00 time：27:36:773
TX : ID - 71C, DATA - 2, 27, 5, 0, 0, 0, 0, 0time：27:37:274
RX:ID 78c  Data:
06 67 05 4c e3 68 35 00 time：27:37:275
TX : ID - 71C, DATA - 6, 27, 6, 2d, 95, bd, 3e, 0time：27:37:280
RX:ID 78c  Data:
02 67 06 00 00 00 00 00 time：27:37:280
TX : ID - 71C, DATA - 14, 7c, 31, 1, df, fc, 43, 0time：27:37:775
RX:ID 78c  Data:
30 00 00 00 00 00 00 00 time：27:37:776
TX : ID - 71C, DATA - 21, 56, 96, 61, 1, 18, f7, 10time：27:37:776
TX : ID - 71C, DATA - 22, e1, 3f, cd, 3, 50, fa, ectime：27:37:776
TX : ID - 71C, DATA - 23, d6, bf, 66, 14, bb, 39, 38time：27:37:777
TX : ID - 71C, DATA - 24, bb, 53, bb, 70, 20, 23, b3time：27:37:777
TX : ID - 71C, DATA - 25, a2, 4e, 38, 3a, e5, e3, 94time：27:37:777
TX : ID - 71C, DATA - 26, d0, 58, 7c, 25, 75, e, a1time：27:37:777
TX : ID - 71C, DATA - 27, 7a, 81, f, ed, a4, b6, datime：27:37:777
TX : ID - 71C, DATA - 28, 49, 6b, 75, 4e, a1, 1d, 7ctime：27:37:777
TX : ID - 71C, DATA - 29, dd, ef, b9, f9, 85, c, d0time：27:37:777
TX : ID - 71C, DATA - 2a, bb, aa, eb, 39, 29, bd, f2time：27:37:777
TX : ID - 71C, DATA - 2b, e2, 2e, 1b, b9, 14, 6a, 19time：27:37:777
TX : ID - 71C, DATA - 2c, 6b, 4b, 33, 71, 98, 55, betime：27:37:778
TX : ID - 71C, DATA - 2d, 42, 60, bb, ad, 6d, 8, fftime：27:37:778
TX : ID - 71C, DATA - 2e, 2a, 44, 18, d3, 79, b1, d6time：27:37:778
TX : ID - 71C, DATA - 2f, 18, 9c, ad, fc, 5, 1e, 95time：27:37:778
TX : ID - 71C, DATA - 20, 35, 47, a1, 6f, 7a, 53, c7time：27:37:778
TX : ID - 71C, DATA - 21, d7, f0, a1, c4, 70, 85, 65time：27:37:778
TX : ID - 71C, DATA - 22, cb, ac, 2, 16, b8, 1a, f5time：27:37:778
