开始记录20240103104830
RX:ID 78c  Data:
02 76 2b 00 00 00 00 00 time：48:30:398
RX:ID 78c  Data:
07 62 fd ff ff ff ff ff time：48:30:398

握手成功第 44 次,  传输了： 89956个数 
TX : ID - 71C, DATA - 18, 2e, 36, 2c, d0, 7, 0, 0time：48:30:398
RX:ID 78c  Data:
30 00 00 00 00 00 00 00 time：48:30:399
TX : ID - 71C, DATA - 21, a0, 1d, 0, 20, 40, dc, 2time：48:30:399
TX : ID - 71C, DATA - 22, 0, b8, e2, 2, 0, b0, e2time：48:30:400
TX : ID - 71C, DATA - 23, 2, 0, 60, 3, 0, 0, 98time：48:30:400
TX : ID - 71C, DATA - 24, 1d, 0, 20, 88, 13, 0, 0time：48:30:400
TX : ID - 71C, DATA - 25, 7a, 1c, 0, 20, 48, dc, 2time：48:30:400
TX : ID - 71C, DATA - 26, 0, b8, e2, 2, 0, b0, e2time：48:30:401
TX : ID - 71C, DATA - 27, 2, 0, 7a, 3, 0, 0, 64time：48:30:401
TX : ID - 71C, DATA - 28, 1d, 0, 20, 88, 13, 0, 0time：48:30:401
TX : ID - 71C, DATA - 29, 61, 1d, 0, 20, 50, dc, 2time：48:30:401
TX : ID - 71C, DATA - 2a, 0, b8, e2, 2, 0, b0, e2time：48:30:401
TX : ID - 71C, DATA - 2b, 2, 0, 83, 3, 0, 0, 40time：48:30:402
TX : ID - 71C, DATA - 2c, 1d, 0, 20, 88, 13, 0, 0time：48:30:402
TX : ID - 71C, DATA - 2d, 95, 1c, 0, 20, 58, dc, 2time：48:30:402
TX : ID - 71C, DATA - 2e, 0, b8, e2, 2, 0, b0, e2time：48:30:402
TX : ID - 71C, DATA - 2f, 2, 0, 88, 3, 0, 0, 0time：48:30:402
TX : ID - 71C, DATA - 20, 1d, 0, 20, 88, 13, 0, 0time：48:30:402
TX : ID - 71C, DATA - 21, 69, 1e, 0, 20, 60, dc, 2time：48:30:402
TX : ID - 71C, DATA - 22, 0, b8, e2, 2, 0, b0, e2time：48:30:402
TX : ID - 71C, DATA - 23, 2, 0, a8, 3, 0, 0, 1ctime：48:30:402
TX : ID - 71C, DATA - 24, 1d, 0, 20, 88, 13, 0, 0time：48:30:403
TX : ID - 71C, DATA - 25, 78, 1d, 0, 20, 68, dc, 2time：48:30:403
TX : ID - 71C, DATA - 26, 0, b8, e2, 2, 0, b0, e2time：48:30:403
TX : ID - 71C, DATA - 27, 2, 0, b5, 3, 0, 0, 1ctime：48:30:403
TX : ID - 71C, DATA - 28, 1e, 0, 20, 88, 13, 0, 0time：48:30:403
TX : ID - 71C, DATA - 29, 94, 1c, 0, 20, 70, dc, 2time：48:30:403
TX : ID - 71C, DATA - 2a, 0, b8, e2, 2, 0, b0, e2time：48:30:403
TX : ID - 71C, DATA - 2b, 2, 0, b6, 3, 0, 0, 58time：48:30:403
TX : ID - 71C, DATA - 2c, 1d, 0, 20, 88, 13, 0, 0time：48:30:403
TX : ID - 71C, DATA - 2d, 79, 1c, 0, 20, 78, dc, 2time：48:30:404
TX : ID - 71C, DATA - 2e, 0, b8, e2, 2, 0, b0, e2time：48:30:404
TX : ID - 71C, DATA - 2f, 2, 0, b7, 3, 0, 0, 14time：48:30:404
TX : ID - 71C, DATA - 20, 1e, 0, 20, 88, 13, 0, 0time：48:30:404
TX : ID - 71C, DATA - 21, 62, 1d, 0, 20, 80, dc, 2time：48:30:404
TX : ID - 71C, DATA - 22, 0, b8, e2, 2, 0, b0, e2time：48:30:404
TX : ID - 71C, DATA - 23, 2, 0, b8, 3, 0, 0, 9ctime：48:30:405
TX : ID - 71C, DATA - 24, 1c, 0, 20, e8, 3, 0, 0time：48:30:405
TX : ID - 71C, DATA - 25, 78, 1c, 0, 20, 88, dc, 2time：48:30:405
